Country,Date_confirmation,New_infected,Total_infected
World,2022-06-24,356,4119
Argentina,2022-06-24,0,4
Australia,2022-06-24,0,13
Austria,2022-06-24,8,20
Belgium,2022-06-24,0,77
Brazil,2022-06-24,0,11
Bulgaria,2022-06-24,0,2
Canada,2022-06-24,0,235
Chile,2022-06-24,0,3
Colombia,2022-06-24,0,3
Croatia,2022-06-24,0,1
Czech Republic,2022-06-24,0,6
Denmark,2022-06-24,0,13
Finland,2022-06-24,0,4
France,2022-06-24,0,330
Georgia,2022-06-24,0,1
Germany,2022-06-24,110,676
Ghana,2022-06-24,0,18
Gibraltar,2022-06-24,0,1
Greece,2022-06-24,0,2
Greece ,2022-06-24,0,1
Hungary,2022-06-24,6,12
Iceland,2022-06-24,0,3
Ireland,2022-06-24,0,28
Israel,2022-06-24,3,16
Italy,2022-06-24,42,127
Latvia,2022-06-24,0,2
Lebanon,2022-06-24,0,1
Luxembourg,2022-06-24,0,1
Malta,2022-06-24,0,4
Mexico,2022-06-24,0,9
Morocco,2022-06-24,0,1
Netherlands,2022-06-24,44,211
Norway,2022-06-24,2,4
Poland,2022-06-24,0,12
Portugal,2022-06-24,20,348
Romania,2022-06-24,0,5
Serbia,2022-06-24,0,1
Singapore,2022-06-24,0,1
Slovenia,2022-06-24,0,8
South Africa,2022-06-24,0,1
South Korea,2022-06-24,0,1
Spain,2022-06-24,0,736
Sweden,2022-06-24,0,13
Switzerland,2022-06-24,3,55
Taiwan,2022-06-24,1,1
United Arab Emirates,2022-06-24,0,13
United Kingdom,2022-06-24,117,910
United States,2022-06-24,0,173
Venezuela,2022-06-24,0,1
